General information,Unnamed: 1,Source_File
Description,"This unit process produces hydrogen from water via SOEC (solid oxide electrolysis cell) electrolysis pathway.

The functional unit of the process is the production of 1 kg of hydrogen at 99.9% purity and a default pressure level equal to 65 bar.

The gate-to-gate system boundary starts with the water and electricity as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

The technology is Solid Oxide Electrolysis Cells (SOEC) process operates at high temperatures (600-1000℃), using steam rather than water on the anode side, and a solid electrolyte such as ceramic to conduct oxygen ions through the cell. In order to provide the necessary heat, a part of hydrogen product is combuted. It also includes a reverse osmosis unit to treat the water feed, and a hydrogen compression unit.

The process does not have co-products and all the environmental impacts are allocated to hydrogen production. ",hydrogen_soec_electrolysis_with_hydrogen_combustio
Version,00.01.002,hydrogen_soec_electrolysis_with_hydrogen_combustio
Last change,2025-02-17 11:11:42.859000,hydrogen_soec_electrolysis_with_hydrogen_combustio
Tags,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Time,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Valid from,2018-01-01 00:00:00,hydrogen_soec_electrolysis_with_hydrogen_combustio
Valid until,2022-12-31 00:00:00,hydrogen_soec_electrolysis_with_hydrogen_combustio
Description,"Key SOEC parameters comes from publications between 2018 and 2022
",hydrogen_soec_electrolysis_with_hydrogen_combustio
Geography,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Location,Canada,hydrogen_soec_electrolysis_with_hydrogen_combustio
Description,"Water quality used is typical for Canada. The process can be used in other regions as well.
",hydrogen_soec_electrolysis_with_hydrogen_combustio
Technology,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Description,"Compared to all other electrolysis systems, Solid Oxide Electrolysis Cells (SOEC) process operates at high temperatures (600-1000℃), using steam rather than water on the anode side, and a solid electrolyte such as ceramic to conduct oxygen ions through the cell. In order to reach the operating temperature of the electrolysis cell, water is heated through a sequence of heat exchangers that use the energy of hot streams within the process, which is complemented by heat from flue gases produced in a hydrogen fed boiler. The use of hydrogen as fuel is preferred in this configuration (rather than a natural gas) in order to minimize GHG emissions associated to the process, thus lowering the carbon footprint of the hydrogen product. In this process configuration, the capacity of the SOEC cell needs to be increase to include the additional hydrogen required for energy needs. This implies higher amounts of feedwater to the process and higher electricity consumed at the SOEC; therefore such configuration fits better with contexts where electricity with a low-carbon intensity is available (e.g. when hydroelectricity is used).  After steam is decomposed into hydrogen and oxygen ions, gaseous hydrogen leaves the electrolysis cell at the cathode side, while the oxygen gas moves trough the SOEC and leaves on the anode side. 

Steam dissociation requires less energy than water, and electricity consumption by the SOEC is lower compared to other technologies, for similar capacities. In this process configuration, air is used as sweep gas to displace the oxygen from the anode channel. Moreover, it is used as a heating medium to convey heat between the cathode and the anode. 

Hydrogen exiting the SOEC is cooled in the heat exhanger network, and part of its water content is removed to be recirculated to the feedwater section. The hydrogen stream then goes through a refrigerated dryer, a twin tower desiccant dryer, and a series of compressor to reach its final specification at 99.99% purity, 325 °C and 65 bar.

The technology is still at R&D development, so not enough information available for simulations, durability or costs (TRL: 7 vs 9 for AE and PEM).",hydrogen_soec_electrolysis_with_hydrogen_combustio
Data quality,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Process schema,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Data quality entry,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Flow schema,,hydrogen_soec_electrolysis_with_hydrogen_combustio
Social schema,,hydrogen_soec_electrolysis_with_hydrogen_combustio
UUID,5fe30c86-94ff-4ffc-8df0-5f7f15fc1e1a,hydrogen_soec_electrolysis_with_natual_gas_combust
Name,"Hydrogen; SOEC electrolysis with natual gas combustion option; at plant; 99.9%, 65 bar",hydrogen_soec_electrolysis_with_natual_gas_combust
Category,NRC LCI/Hydrogen pathways/Hydrogen production,hydrogen_soec_electrolysis_with_natual_gas_combust
Description,"This unit process produces hydrogen from water via SOEC (solid oxide electrolysis cell) electrolysis pathway.

The functional unit of the process is the production of 1 kg of hydrogen at 99.9% purity and a default pressure level equal to 65 bar.

The gate-to-gate system boundary starts with the water and electricity as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

The technology is Solid Oxide Electrolysis Cells (SOEC) process operates at high temperatures (600-1000℃), using steam rather than water on the anode side, and a solid electrolyte such as ceramic to conduct oxygen ions through the cell. In order to provide the necessary heat, natutal gas is combuted. It also includes a reverse osmosis unit to treat the water feed, and a hydrogen compression unit.

The process does not have co-products and all the environmental impacts are allocated to hydrogen production. ",hydrogen_soec_electrolysis_with_natual_gas_combust
Version,00.01.003,hydrogen_soec_electrolysis_with_natual_gas_combust
Last change,2025-02-17 11:12:32.412000,hydrogen_soec_electrolysis_with_natual_gas_combust
Tags,,hydrogen_soec_electrolysis_with_natual_gas_combust
Time,,hydrogen_soec_electrolysis_with_natual_gas_combust
Valid from,2018-01-01 00:00:00,hydrogen_soec_electrolysis_with_natual_gas_combust
Valid until,2022-12-31 00:00:00,hydrogen_soec_electrolysis_with_natual_gas_combust
Description,"Key SOEC parameters comes from publications between 2018 and 2022
",hydrogen_soec_electrolysis_with_natual_gas_combust
Geography,,hydrogen_soec_electrolysis_with_natual_gas_combust
Location,Canada,hydrogen_soec_electrolysis_with_natual_gas_combust
Description,"Water quality used is typical for Canada. The process can be used in other regions as well.
",hydrogen_soec_electrolysis_with_natual_gas_combust
Technology,,hydrogen_soec_electrolysis_with_natual_gas_combust
Description,"Compared to all other electrolysis systems, Solid Oxide Electrolysis Cells (SOEC) process operates at high temperatures (600-1000℃), using steam rather than water on the anode side, and a solid electrolyte such as ceramic to conduct oxygen ions through the cell. In order to reach the operating temperature of the electrolysis cell, water is heated through a sequence of heat exchangers that use the energy of hot streams within the process, which is complemented by heat from flue gases produced in a natural gas boiler. After steam is decomposed into hydrogen and oxygen ions, gaseous hydrogen leaves the electrolysis cell at the cathode side, while the oxygen gas moves trough the SOEC and leaves on the anode side. 

Steam dissociation requires less energy than water, and electricity consumption by the SOEC is lower compared to other technologies, for similar capacities. In this process configuration, air is used as sweep gas to displace the oxygen from the anode channel. Moreover, it is used as a heating medium to convey heat between the cathode and the anode. 

Hydrogen exiting the SOEC is cooled in the heat exhanger network, and part of its water content is removed to be recirculated to the feedwater section. The hydrogen stream then goes through a refrigerated dryer, a twin tower desiccant dryer, and a series of compressor to reach its final specification at 99.99% purity, 325 °C and 65 bar.

The technology is still at R&D development, so not enough information available for simulations, durability or costs (TRL: 7 vs 9 for AE and PEM).",hydrogen_soec_electrolysis_with_natual_gas_combust
Data quality,,hydrogen_soec_electrolysis_with_natual_gas_combust
Process schema,,hydrogen_soec_electrolysis_with_natual_gas_combust
Data quality entry,,hydrogen_soec_electrolysis_with_natual_gas_combust
Flow schema,,hydrogen_soec_electrolysis_with_natual_gas_combust
Social schema,,hydrogen_soec_electrolysis_with_natual_gas_combust
UUID,4236e6a7-b6d7-437f-8e3e-35bcd3071844,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Name,"hydrogen; steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Category,NRC LCI/Hydrogen pathways/Hydrogen production,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Description,"This unit process produces hydrogen from activated carbon, allumina oxide, copper oxide, electricity, natural gas, water, zinc oxide, nickel, allumina oxide, monoethanolamine via Steam-methane reforming (SMR) pathway without carbon capture._x000D_
_x000D_
The FU and reference flow are 1 kg of compressed gaseous hydrogen (LHV) at a default pressure level greater than or equal to 60 bar and ambient temperature (25◦C). _x000D_
_x000D_
The gate-to-gate system boundary starts with the inputs of activated carbon, allumina oxide, copper oxide, electricity, natural gas, water, zinc oxide, nickel, allumina oxide, monoethanolamine and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%._x000D_
_x000D_
The foreground system comprises three subsystems: 1) considers the extraction and production of the feedstock, i.e. natural gas and its transportation through pipelines to the SMR plant; 2) includes the feedstock pre-treatment (sulfur removal) and the hydrogen production and purification; and 3) refers to hydrogen compression to obtain hydrogen product that complies with the minimum specifications. The natural gas feedstock goes through a chemical desulfurization process using solvents and catalysts to further reduce the sulfur content in the gas._x000D_
_x000D_
The process does not have co-products and all the environmental impacts are allocated to hydrogen production.","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Version,00.01.001,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Last change,2025-02-17 11:35:08.872000,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Tags,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Time,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Valid from,2009-01-01 00:00:00,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Valid until,2022-01-01 00:00:00,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Description,This process was designed based on state-of-art steam-methane reforming (SMR) hydrogen production. The process parameters were collected based on industrial technical reports and scientific literature from 2009 to 2022.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Geography,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Location,"Canada, Alberta","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Description,"This process uses natural gas composition available in Alberta, Canada, and hence representiave of Canadian context. However, the process may be used in other regions, in which the composition of natural gas is similar. _x000D_
Natural gas weight composition (Enbridge, 2021):_x000D_
Nitrogen (0.8%)_x000D_
Carbon Dioxide (0.8%)_x000D_
Methane (90%)_x000D_
Ethane (7.6%)_x000D_
Propane (0.5%)_x000D_
Butane (0.1%)_x000D_
Pentane (0.1%)_x000D_
Hexane (0.04%)_x000D_
Hydrogen Sulfide (0.04%)_x000D_
Oxygen (0.02%)","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Technology,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Description,"A zinc-oxide sulfur-guard bed was used to remove 98% of the sulfur in the feed, resulting in a maximum sulfur content of 0.1 ppm post-sulfur guard bed. The clean gas – generally referred to as sweet gas – is rich in methane and therefore reformed in the pre-reformer using steam as a reforming agent and in the presence of a Nickel-Alumina (Ni (15%) –Al2O3 (85%)) in the reformer. Steam used in pre-reformer is produced by heat recovery from combustion flue gases (after gaining heat from syngas). Steam reforming as an endothermic reaction requires heating energy, which is provided by combusting process off-gases from the downstream Pressure Swing Adsorption (PSA) unit, as well as natural gas as fuel. Methane as well as other alkanes are transformed into syngas components via the reforming process and exit the reactor at a high temperature (above 900 C) which passes through a heat recovery unit system to exchange their heat, cool down somewhat and produce steam. The product gas passes through three Water-Gas-Shift (WGS) reaction steps. The WGS hydrogen-adjusted product goes through an adsorption process within the PSA unit, where hydrogen gas is separated. Finally, hydrogen gas is compressed using medium pressure compressors to 60 bar followed by cooling to reach the storage conditions. The emissions from this SMR process are off-gases from the reforming unit, primarily carbon dioxide (CO2) that are completely emitted to the air. The carbon capture and sequestration unit (CCS) process is excluded from this pathway system boundary. ","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Data quality,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Process schema,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Data quality entry,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Flow schema,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
Social schema,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar"
UUID,8bdb58cd-b7d5-4867-bac3-450096053630,hydrogen_steam_methane_reforming_of_natural_gas_wi
Name,"hydrogen; steam methane reforming of natural gas, with carbon capture, with CO2 compression; at plant; 99.9%, 60 bar",hydrogen_steam_methane_reforming_of_natural_gas_wi
Category,NRC LCI/Hydrogen pathways/Hydrogen production,hydrogen_steam_methane_reforming_of_natural_gas_wi
Description,"This unit process produces hydrogen from activated carbon, allumina oxide, copper oxide, electricity, natural gas, water, zinc oxide, nickel, allumina oxide, monoethanolamine via Steam-methane reforming (SMR) pathway with carbon capture  and with CO2 compression.

The FU and reference flow are stated as “Production of 1 kg of compressed gaseous hydrogen (LHV) at a default pressure level greater than or equal to 60 bar and ambient temperature (25◦C). 

The gate-to-gate system boundary starts with the inputs ofactivated carbon, allumina oxide, copper oxide, electricity, natural gas, water, zinc oxide, nickel, allumina oxide, monoethanolamine and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

SMR with carbon capture, coined “blue” hydrogen, is a potential clean energy technology to produce hydrogen. The foreground system comprises three subsystems: 1) considers the extraction and production of the feedstock, i.e. natural gas and its transportation through pipelines to the SMR plant; 2) includes the feedstock pre-treatment (sulfur removal) and the hydrogen production and purification, carbon capture and storage process is included; and 3) refers to hydrogen compression to obtain hydrogen product that complies with the minimum specifications. The natural gas feedstock goes through a chemical desulfurization process using solvents and catalysts to further reduce the sulfur content in the gas.

The process does not have co-products and all the environmental impacts are allocated to hydrogen production.",hydrogen_steam_methane_reforming_of_natural_gas_wi
Version,00.01.004,hydrogen_steam_methane_reforming_of_natural_gas_wi
Last change,2025-02-23 08:00:45.723000,hydrogen_steam_methane_reforming_of_natural_gas_wi
Tags,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Time,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Valid from,2009-01-01 00:00:00,hydrogen_steam_methane_reforming_of_natural_gas_wi
Valid until,2022-01-01 00:00:00,hydrogen_steam_methane_reforming_of_natural_gas_wi
Description,This process was designed based on state-of-art steam-methane reforming (SMR) hydrogen production. The process parameters were collected based on industrial technical reports and scientific literature from 2009 to 2022.,hydrogen_steam_methane_reforming_of_natural_gas_wi
Geography,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Location,"Canada, Alberta",hydrogen_steam_methane_reforming_of_natural_gas_wi
Description,"This process uses natural gas composition available in Alberta, Canada, and hence representiave of Canadian context. However, the process may be used in other regions, in which the composition of natural gas is similar. 
Natural gas weight composition (Enbridge, 2021):
Nitrogen (0.8%)
Carbon Dioxide (0.8%)
Methane (90%)
Ethane (7.6%)
Propane (0.5%)
Butane (0.1%)
Pentane (0.1%)
Hexane (0.04%)
Hydrogen Sulfide (0.04%)
Oxygen (0.02%)",hydrogen_steam_methane_reforming_of_natural_gas_wi
Technology,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Description,"A zinc-oxide sulfur-guard bed was used to remove 98% of the sulfur in the feed, resulting in a maximum sulfur content of 0.1 ppm post-sulfur guard bed. The clean gas – generally referred to as sweet gas – is rich in methane and therefore reformed in the pre-reformer using steam as a reforming agent and in the presence of a Nickel-Alumina (Ni (15%) –Al2O3 (85%)) in the reformer. Steam used in pre-reformer is produced by heat recovery from combustion flue gases (after gaining heat from syngas). Steam reforming as an endothermic reaction requires heating energy, which is provided by combusting process off-gases from the downstream Pressure Swing Adsorption (PSA) unit, as well as natural gas as fuel. Methane as well as other alkanes are transformed into syngas components via the reforming process and exit the reactor at a high temperature (above 900 C) which passes through a heat recovery unit system to exchange their heat, cool down somewhat and produce steam. The product gas passes through three Water-Gas-Shift (WGS) reaction steps. The WGS hydrogen-adjusted product goes through an adsorption process within the PSA unit, where hydrogen gas is separated. Finally, hydrogen gas is compressed using medium pressure compressors to 60 bar followed by cooling to reach the storage conditions. The emissions from this SMR process are off-gases from the reforming unit. Carbon capture system is considered for capturing the emitted carbon dioxide (CO2).",hydrogen_steam_methane_reforming_of_natural_gas_wi
Data quality,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Process schema,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Data quality entry,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Flow schema,,hydrogen_steam_methane_reforming_of_natural_gas_wi
Social schema,,hydrogen_steam_methane_reforming_of_natural_gas_wi
UUID,99acccb9-3529-4e25-bf37-cad3c010210e,hydrogen_wood_biomass_gasification_without_carbon_
Name,"Hydrogen; wood biomass gasification, without carbon capture; at plant; 99.9%, 62.2 bar",hydrogen_wood_biomass_gasification_without_carbon_
Category,NRC LCI/Hydrogen pathways/Hydrogen production,hydrogen_wood_biomass_gasification_without_carbon_
Description,"This unit process produces hydrogen from wood biomass (wood chips) via gasification pathway without carbon capture.

The functional unit of the process is the production of 1 kg of compressed gaseous hydrogen (LHV) at a default pressure level equal to 62.2 bar and ambient temperature (25◦C). 

The gate-to-gate system boundary starts with the inputs of wood biomass as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

The life cycle of hydrogen production includes acquisition/extraction of raw material, feedstock production and transportation, hydrogen production, and hydrogen compression. The foreground system comprises three subsystems: 1) considers the extraction and production of the feedstock, i.e. wood chips and its transportation through trucks to the gasification plant; 2) includes the feedstock pre-treatment (drying) and the hydrogen production and purification; and 3) refers to hydrogen compression to obtain hydrogen product that complies with the minimum specifications. 

The process does not have co-products and all the environmental impacts are allocated to hydrogen production.",hydrogen_wood_biomass_gasification_without_carbon_
Version,00.01.001,hydrogen_wood_biomass_gasification_without_carbon_
Last change,2025-02-17 11:36:34.858000,hydrogen_wood_biomass_gasification_without_carbon_
Tags,,hydrogen_wood_biomass_gasification_without_carbon_
Time,,hydrogen_wood_biomass_gasification_without_carbon_
Valid from,2017-01-01 00:00:00,hydrogen_wood_biomass_gasification_without_carbon_
Valid until,2021-01-01 00:00:00,hydrogen_wood_biomass_gasification_without_carbon_
Description,This process was designed based on state-of-art gasification production from wood chips. The process parameters were collected based on industrial technical reports and scientific literature from 2017 to 2021.,hydrogen_wood_biomass_gasification_without_carbon_
Geography,,hydrogen_wood_biomass_gasification_without_carbon_
Location,"Canada, British Columbia",hydrogen_wood_biomass_gasification_without_carbon_
Description,"This process converts wood biomass from Canadian forest into high purity hydrogen, and hence representiave of Canadian context. However, the process may be used in other regions, in which the composition of wood chips is similar. 
Wood chips ultimate analysis (%) (Rezaei et al., 2016):
Carbon (48.02 ± 0.03)
Hydrogen (6.14 ± 0.07)
Nitrogen (Not detected)
Oxygen (45.85 ± 0.05)",hydrogen_wood_biomass_gasification_without_carbon_
Technology,,hydrogen_wood_biomass_gasification_without_carbon_
Description,"Wet wood chips are fed into a biomass dryer, which can operate with low temperature waste heat from the process. In the dryer, the H2O mass fraction of the feedstock is reduced from about 32% to less than 20% (wet base). Dual Fluidized bed (DFB) steam gasification technology is the core of the process for hydrogen production from wood chips. The gasification reactor, where the gasification with steam, in the absence of oxygen takes place, is separated from the combustion reactor which provides the heat necessary for endothermic gasification. The gasification reactor is operated as a bubbling fluidized bed and is fluidized with steam, which acts as well as gasification agent. The combustion reactor is operated with air as a fast fluidized bed. Char is transported together with bed material (olivine) from the gasification to the combustion reactor, where is exothermically burns and produces heat needed for the gasification process.  After product gas is produced in the gasifier, this product gas pass through to gas cleaning, water gas shift rection (HT), tar removal (Rapeseed Methyl Ester (RME) scrubber), hydrogen purification, and cooling and compresion. The designed process needs steam which can be generated through heat recovery of streams and using several heat exchangers. ",hydrogen_wood_biomass_gasification_without_carbon_
Data quality,,hydrogen_wood_biomass_gasification_without_carbon_
Process schema,,hydrogen_wood_biomass_gasification_without_carbon_
Data quality entry,,hydrogen_wood_biomass_gasification_without_carbon_
Flow schema,,hydrogen_wood_biomass_gasification_without_carbon_
Social schema,,hydrogen_wood_biomass_gasification_without_carbon_
UUID,553f2134-86eb-4ae6-8edf-198ec7c5f0fb,hydrogen_wood_biomass_gasification_with_carbon_cap
Name,"Hydrogen; wood biomass gasification, with carbon capture; at plant; 99.9%, 62.2 bar",hydrogen_wood_biomass_gasification_with_carbon_cap
Category,NRC LCI/Hydrogen pathways/Hydrogen production,hydrogen_wood_biomass_gasification_with_carbon_cap
Description,"This unit process produces hydrogen from wood biomass (wood chips) via gasification pathway with carbon capture.

The functional unit of the process is the production of 1 kg of compressed gaseous hydrogen (LHV) at a default pressure level equal to 62.2 bar and ambient temperature (25◦C). 

The gate-to-gate system boundary starts with the inputs of wood biomass as feedstock and ends with the production of industrial grade of hydrogen at gate, purity of 99.9%.

The life cycle of hydrogen production includes acquisition/extraction of raw material, feedstock production and transportation, hydrogen production, and hydrogen compression. The foreground system comprises three subsystems: 1) considers the extraction and production of the feedstock, i.e. wood chips and its transportation through trucks to the gasification plant; 2) includes the feedstock pre-treatment (drying) and the hydrogen production and purification; and 3) refers to hydrogen compression to obtain hydrogen product that complies with the minimum specifications. 

The process does not have co-products and all the environmental impacts are allocated to hydrogen production.",hydrogen_wood_biomass_gasification_with_carbon_cap
Version,00.01.002,hydrogen_wood_biomass_gasification_with_carbon_cap
Last change,2025-02-17 11:36:10.425000,hydrogen_wood_biomass_gasification_with_carbon_cap
Tags,,hydrogen_wood_biomass_gasification_with_carbon_cap
Time,,hydrogen_wood_biomass_gasification_with_carbon_cap
Valid from,2017-01-01 00:00:00,hydrogen_wood_biomass_gasification_with_carbon_cap
Valid until,2021-01-01 00:00:00,hydrogen_wood_biomass_gasification_with_carbon_cap
Description,This process was designed based on state-of-art gasification production from wood chips. The process parameters were collected based on industrial technical reports and scientific literature from 2017 to 2021.,hydrogen_wood_biomass_gasification_with_carbon_cap
Geography,,hydrogen_wood_biomass_gasification_with_carbon_cap
Location,"Canada, British Columbia",hydrogen_wood_biomass_gasification_with_carbon_cap
Description,"This process converts wood biomass from Canadian forest into high purity hydrogen, and hence representiave of Canadian context. However, the process may be used in other regions, in which the composition of wood chips is similar. 
Wood chips ultimate analysis (%) (Rezaei et al., 2016):
Carbon (48.02 ± 0.03)
Hydrogen (6.14 ± 0.07)
Nitrogen (Not detected)
Oxygen (45.85 ± 0.05)",hydrogen_wood_biomass_gasification_with_carbon_cap
Technology,,hydrogen_wood_biomass_gasification_with_carbon_cap
Description,"Wet wood chips are fed into a biomass dryer, which can operate with low temperature waste heat from the process. In the dryer, the H2O mass fraction of the feedstock is reduced from about 32% to less than 20% (wet base). Dual Fluidized bed (DFB) steam gasification technology is the core of the process for hydrogen production from wood chips. The gasification reactor, where the gasification with steam, in the absence of oxygen takes place, is separated from the combustion reactor which provides the heat necessary for endothermic gasification. The gasification reactor is operated as a bubbling fluidized bed and is fluidized with steam, which acts as well as gasification agent. The combustion reactor is operated with air as a fast fluidized bed. Char is transported together with bed material (olivine) from the gasification to the combustion reactor, where is exothermically burns and produces heat needed for the gasification process.  After product gas is produced in the gasifier, this product gas pass through to gas cleaning, water gas shift rection (HT), tar removal (Rapeseed Methyl Ester (RME) scrubber), hydrogen purification, and cooling and compresion. The designed process needs steam which can be generated through heat recovery of streams and using several heat exchangers. ",hydrogen_wood_biomass_gasification_with_carbon_cap
Data quality,,hydrogen_wood_biomass_gasification_with_carbon_cap
Process schema,,hydrogen_wood_biomass_gasification_with_carbon_cap
Data quality entry,,hydrogen_wood_biomass_gasification_with_carbon_cap
Flow schema,,hydrogen_wood_biomass_gasification_with_carbon_cap
Social schema,,hydrogen_wood_biomass_gasification_with_carbon_cap

