Is reference?,Flow,Category,Amount,Unit,Costs/Revenues,Currency,Uncertainty,(G)Mean | Mode,SD | GSD,Minimum,Maximum,Is avoided?,Provider,Data quality entry,Location,Description,Source_File,Contribution Category
x,"Hydrogen, 99.9%, 33 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,NRC - LCI/Hydrogen production
,Oxygen,Elementary flows/Emission to air/unspecified,7.939223,kg,,,log-normal,8.11,1.1155437534545625,,,,,(2;2;3;2;1),,,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,Elementary flows/Emission to air/unspecified
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",0.005013,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Water out (refrigerated dryer),hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",0.053258,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Water out (O2 flash seperator),hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",3.868421,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,Brine,hydrogen_alkaline_electrolysis_at_plant_99_9_33_ba,"E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage"
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,8.93,kg,,,log-normal,10.5,1.3173282737856964,,,,,(3;5;4;3;1),nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Electricity
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),nan,"Hydrogen production from ATR systemtechnology. 30137.3 kg/h, purity: 99.9%, pressure: 62.2 bar.","hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Materials
,Nitrogen,Elementary flows/Emission to air/unspecified,12.622,kg,,,log-normal,163.825634,1.3173282737856964,,,,,(3;5;4;3;1),nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Water Supply
,Sulfur dioxide,Elementary flows/Emission to air/unspecified,0.019,kg,,,log-normal,0.000371,1.31733,,,,,(3; 5; 4; 3; 1),nan,SO2,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Electricity
,Water,Elementary flows/Emission to air/unspecified,0.005,l,,,,,,,,,,,nan,,"hydrogen_autothermal reforming of natural gas, without carbon capture; at plant; 99.9%, 62.2 bar",Materials
,Argon,Elementary flows/Emission to air/unspecified,0.315,kg,,,log-normal,1.0,1.31733,,,,,,,,hydrogen_autothermal_reforming_of_natural_gas_with,
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,1.547,kg,,,log-normal,10.5,1.3173282737856964,,,,,,,,hydrogen_autothermal_reforming_of_natural_gas_with,
,"carbon dioxide, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",8.018,kg,,,log-normal,1.0,1.31733,,,,,,,"The CO2 is in the form of vapour; however, ""carbon dioxide, liquid"" is considered here as a proxy.",hydrogen_autothermal_reforming_of_natural_gas_with,
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.3173282737856964,,,,,,,"Hydrogen production from ATR with carbon capture technology, 24249 kg/h, purity: 99.9%, pressure: 62.2 bar.",hydrogen_autothermal_reforming_of_natural_gas_with,
,Nitrogen,Elementary flows/Emission to air/unspecified,20.208,kg,,,log-normal,163.825634,1.3173282737856964,,,,,,,,hydrogen_autothermal_reforming_of_natural_gas_with,
,Sulfur dioxide,Elementary flows/Emission to air/unspecified,0.003,kg,,,log-normal,0.003,1.0,,,,,,,,hydrogen_autothermal_reforming_of_natural_gas_with,
,Water,Elementary flows/Emission to air/unspecified,0.582,l,,,log-normal,1.617,1.0,,,,,,,,hydrogen_autothermal_reforming_of_natural_gas_with,
x,"Hydrogen, 99.97%, 62.3 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,"Primary product from PEM technology, purity 99.975 wt%, 62.3 bar, 25 C.",hydrogen_pem_electrolysis_at_plant_99_9_62_3_bar,
,Oxygen,Elementary flows/Emission to air/unspecified,8.033,kg,,,,,,,,,,,,Oxygen is not considered as a by-product due to sensitivity of the purity of oxygen to enter the market.,hydrogen_pem_electrolysis_at_plant_99_9_62_3_bar,
,carbon black,"C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",3.035,kg,,,,,,,,,,,,Use if system expansion is used,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,0.095,kg,,,,,,,,,,,,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,Carbon disulfide,Elementary flows/Emission to air/unspecified,0.000445,kg,,,,,,,,,,,,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,Hydrogen sulfide,Elementary flows/Emission to air/unspecified,0.001,kg,,,,,,,,,,,,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,Water,Elementary flows/Emission to air/unspecified,0.116,m3,,,,,,,,,,,,,hydrogen_plasma_pyrolysis_of_natural_gas_at_plant_,
,Calcium,Elementary flows/Emission to water/unspecified,0.00362505,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
x,"Hydrogen, 99.9%, 65 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,Magnesium,Elementary flows/Emission to water/unspecified,0.00143745,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,Sodium,Elementary flows/Emission to water/unspecified,0.006375,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,"Water, CA",Elementary flows/Emission to water/unspecified,3.89427926,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_electric_boiler_op,
,Calcium,Elementary flows/Emission to water/unspecified,0.005625,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Hydrogen,Elementary flows/Emission to air/unspecified,0.000875,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
x,"Hydrogen, 99.9%, 65 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Magnesium,Elementary flows/Emission to water/unspecified,0.002187,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Nitrogen,Elementary flows/Emission to air/unspecified,14.224999,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Nitrogen dioxide,Elementary flows/Emission to air/unspecified,1.499999925e-07,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Nitrogen oxides,Elementary flows/Emission to air/unspecified,0.004938,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Oxygen,Elementary flows/Emission to air/unspecified,0.0175,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Sodium,Elementary flows/Emission to water/unspecified,0.009813,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Water,Elementary flows/Emission to air/unspecified,4.85625,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,"Water, CA",Elementary flows/Emission to water/unspecified,5.99025,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_hydrogen_combustio,
,Calcium,Elementary flows/Emission to water/unspecified,0.00362505,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,1.70124996,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"Carbon monoxide, fossil",Elementary flows/Emission to air/unspecified,0.013125,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Hydrogen,Elementary flows/Emission to air/unspecified,0.00062505,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
x,"Hydrogen, 99.9%, 65 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Magnesium,Elementary flows/Emission to water/unspecified,0.00143745,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Nitrogen,Elementary flows/Emission to air/unspecified,9.77562446,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Oxygen,Elementary flows/Emission to air/unspecified,0.50437497,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Sodium,Elementary flows/Emission to water/unspecified,0.006375,kg,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Water,Elementary flows/Emission to air/unspecified,3.89427926,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,"Water, CA",Elementary flows/Emission to water/unspecified,5.99025,l,,,,,,,,,,,,,hydrogen_soec_electrolysis_with_natual_gas_combust,
,Ammonia,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Argon,Elementary flows/Emission to air/unspecified,0.389,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Butane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,9.33269,kg,,,log-normal,10.5,1.3173282737856964,,,,,(3;5;4;3;1),,SMR combustor flow gas.,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Carbon monoxide,Elementary flows/Emission to air/unspecified,0.000262,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Carbonyl sulfide,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Dinitrogen monoxide,Elementary flows/Emission to air/unspecified,1.13e-06,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,N2O,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Ethane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Hexane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Hydrogen,Elementary flows/Emission to air/unspecified,1.4e-05,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Hydrogen cyanide,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Hydrogen sulfide,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.0,,,,,(3; 5; 4; 3; 1),,"Hydrogen production from SMR technology. 159.57 t/d, purity: 99.9%, pressure: 62.2 bar.","hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Methane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Monoethanolamine,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Nitric oxide,Elementary flows/Emission to air/unspecified,0.0175,kg,,,log-normal,0.0048,1.3173282737856964,,,,,(3;5;4;3;1),,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Nitrogen,Elementary flows/Emission to air/unspecified,21.301634,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Nitrogen dioxide,Elementary flows/Emission to air/unspecified,4.27e-05,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,NO2,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Oxygen,Elementary flows/Emission to air/unspecified,1.090829,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Pentane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Propane,Elementary flows/Emission to air/unspecified,0.0,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Sulfur dioxide,Elementary flows/Emission to air/unspecified,0.000185,kg,,,log-normal,0.000371,1.3173282737856964,,,,,(3;5;4;3;1),,SO2,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Water,Elementary flows/Emission to water/unspecified,7.511907,kg,,,,,,,,,,,,,"hydrogen_steam methane reforming of natural gas, without carbon capture; at plant; 99.9%,60 bar",
,Argon,Elementary flows/Emission to air/unspecified,0.388059,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"Carbon dioxide, fossil",Elementary flows/Emission to air/unspecified,0.932217,kg,,,log-normal,0.979103,1.3173282737856964,,,,,(3;5;4;3;1),,Added CO2 from NG combustions to provide stripper energy demand of CO2 capture,hydrogen_steam_methane_reforming_of_natural_gas_wi,
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.0,,,,,(3;5;4;3;1),,"Hydrogen production from SMR technology. 159.57 t/d, purity: 99.9%, pressure: 62.2 bar.",hydrogen_steam_methane_reforming_of_natural_gas_wi,
,Nitric oxide,Elementary flows/Emission to air/unspecified,0.016924,kg,,,log-normal,0.0048,1.3173282737856964,,,,,(3;5;4;3;1),,NO,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,Nitrogen,Elementary flows/Emission to air/unspecified,21.301911,kg,,,log-normal,0.000627,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,Oxygen,Elementary flows/Emission to air/unspecified,1.090891,kg,,,log-normal,0.000188,1.3173282737856964,,,,,(3;5;4;3;1),,20% extra air used for combustion.,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,Sulfur,Elementary flows/Emission to air/unspecified,0.001253,kg,,,log-normal,0.001253,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,Water,Elementary flows/Emission to water/unspecified,7.512294,kg,,,log-normal,7.783982,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_steam_methane_reforming_of_natural_gas_wi,
,"Carbon dioxide, non-fossil",Elementary flows/Emission to air/unspecified,26.85828,kg,,,,,,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_without_carbon_,
,"Carbon monoxide, biogenic",Elementary flows/Emission to air/unspecified,0.010131,kg,,,,,,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_without_carbon_,
,Hydrogen,Elementary flows/Emission to air/unspecified,0.000201,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_without_carbon_,
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,Hydrogen production from gasification technology.,hydrogen_wood_biomass_gasification_without_carbon_,
,Nitric oxide,Elementary flows/Emission to air/unspecified,0.218682,kg,,,log-normal,0.0048,1.3173282737856964,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_without_carbon_,
,Nitrogen,Elementary flows/Emission to air/unspecified,163.825634,kg,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_without_carbon_,
,Nitrogen dioxide,Elementary flows/Emission to air/unspecified,0.001127,kg,,,log-normal,1.0,1.3173282737856964,,,,,(3;5;4;3;1),,NO2,hydrogen_wood_biomass_gasification_without_carbon_,
,Oxygen,Elementary flows/Emission to air/unspecified,37.448954,kg,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_without_carbon_,
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",15.013078,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,,hydrogen_wood_biomass_gasification_without_carbon_,
,Water,Elementary flows/Emission to air/unspecified,9.050282,l,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_without_carbon_,
,"carbon dioxide, liquid","C:Manufacturing/20:Manufacture of chemicals and chemical products/201:Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics/2011:Manufacture of basic chemicals",16.536528,kg,,,,,,,,,,,,"The CO2 is in the form of vapour; however, ""carbon dioxide, liquid"" is considered here as a proxy.",hydrogen_wood_biomass_gasification_with_carbon_cap,Electricity
,"Carbon dioxide, non-fossil",Elementary flows/Emission to air/unspecified,4.525554,kg,,,,,,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_with_carbon_cap,Materials
,"Carbon monoxide, biogenic",Elementary flows/Emission to air/unspecified,1e-06,kg,,,,,,,,,,(3;5;4;3;1),,,hydrogen_wood_biomass_gasification_with_carbon_cap,Water Supply
x,"Hydrogen, 99.9%, 62.2 bar",NRC - LCI/Hydrogen production,1.0,kg,,,,,,,,,,(3;5;4;3;1),,Hydrogen production from gasification technology.,hydrogen_wood_biomass_gasification_with_carbon_cap,Electricity
,Methane,Elementary flows/Emission to air/unspecified,2e-06,kg,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_with_carbon_cap,Materials
,N-methyldiethanolamine,Elementary flows/Emission to air/unspecified,0.000181,kg,,,,,,,,,,,,MDEA,hydrogen_wood_biomass_gasification_with_carbon_cap,Water Supply
,Nitrogen,Elementary flows/Emission to air/unspecified,25.929034,kg,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_with_carbon_cap,Electricity
,Oxygen,Elementary flows/Emission to air/unspecified,0.063166,kg,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_with_carbon_cap,Materials
,"wastewater, average","E:Water supply; sewerage, waste management and remediation activities/37:Sewerage/370:Sewerage/3700:Sewerage",4.718775,l,,,,,,,,,"market for wastewater, average | wastewater, average | Cutoff, U",,Rest-of-World,,hydrogen_wood_biomass_gasification_with_carbon_cap,Water Supply
,Water,Elementary flows/Emission to air/unspecified,2.591587,l,,,,,,,,,,,,,hydrogen_wood_biomass_gasification_with_carbon_cap,Electricity
